id,carat,cut,color,clarity,depth,table,x,y,z,price
98580,1.01,Premium,E,SI1,62.5,58.0,6.34,6.37,3.97,4751
66202,1.06,Premium,H,SI2,60.6,59.0,6.59,6.57,3.99,4101
15739,1.52,Premium,E,VS2,59.8,58.0,7.52,7.46,4.48,14674
86879,0.73,Very Good,E,VS2,63.3,58.0,5.7,5.75,3.62,3225
23434,0.5,Premium,D,VS2,62.3,58.0,5.07,5.09,3.17,1714
103187,0.4,Good,F,VS2,63.6,55.0,4.67,4.7,2.99,1080
90245,0.3,Ideal,H,VVS1,62.0,55.0,4.32,4.34,2.68,681
181131,0.75,Premium,F,SI2,59.9,59.0,5.9,5.86,3.52,2198
137687,0.92,Very Good,F,SI1,60.9,61.0,6.26,6.29,3.8,4182
37570,1.26,Ideal,I,SI1,62.0,58.0,6.96,6.88,4.29,6539
184823,0.23,Very Good,H,VVS1,61.2,58.0,3.94,3.98,2.42,472
71835,0.75,Very Good,E,SI1,61.2,60.0,5.85,5.9,3.6,2819
69715,1.38,Premium,H,SI2,62.0,60.0,7.14,7.1,4.42,7340
105474,0.3,Ideal,H,VVS1,62.1,55.0,4.32,4.31,2.68,684
113922,0.34,Very Good,D,SI1,62.9,57.0,4.45,4.48,2.81,721
172440,1.15,Ideal,G,SI2,61.7,55.0,6.77,6.73,4.18,5529
1832,1.14,Very Good,H,SI1,63.3,57.0,6.62,6.57,4.17,5123
162187,1.0,Premium,G,VS1,61.8,59.0,6.39,6.31,3.93,6124
11519,0.5,Premium,E,SI1,62.8,56.0,5.11,5.08,3.2,1374
67594,0.25,Very Good,E,VVS2,61.8,56.0,4.06,4.09,2.52,575
101131,0.32,Premium,I,SI1,59.8,60.0,4.41,4.37,2.63,540
167605,1.03,Fair,F,SI1,67.3,58.0,6.28,6.24,4.16,4766
86839,0.72,Ideal,G,VS2,61.1,56.0,5.77,5.83,3.55,3253
188034,0.52,Ideal,E,VS2,61.0,56.0,5.2,5.22,3.18,1694
183781,0.37,Premium,E,VS1,61.9,59.0,4.58,4.61,2.85,1063
39107,0.4,Premium,G,VS1,59.2,59.0,4.83,4.78,2.86,1080
145762,0.3,Very Good,D,VS2,63.0,58.0,4.32,4.3,2.71,710
54973,0.7,Very Good,H,VS2,62.5,58.0,5.64,5.69,3.54,2224
57771,0.7,Very Good,E,VS2,60.1,60.0,5.82,5.79,3.49,2850
127925,0.94,Ideal,E,VS2,62.0,57.0,6.27,6.29,3.9,6113
64325,0.35,Premium,H,VS2,62.3,59.0,4.48,4.52,2.81,586
121682,0.38,Ideal,H,VS1,62.0,55.0,4.64,4.67,2.88,792
29986,0.51,Ideal,G,SI1,62.3,55.0,5.11,5.14,3.18,1257
12823,0.91,Premium,D,SI2,62.7,60.0,6.15,6.14,3.85,3892
158693,0.51,Very Good,D,VS2,62.4,60.0,5.07,5.11,3.17,1720
42607,0.5,Very Good,E,SI1,63.3,56.0,5.04,5.08,3.21,1415
83402,0.72,Ideal,H,SI1,61.1,56.0,5.81,5.84,3.55,2347
191587,0.79,Ideal,I,VVS2,61.0,56.0,5.95,5.98,3.64,3168
127922,0.9,Very Good,E,SI2,63.4,57.0,6.08,6.12,3.87,3382
115042,0.38,Ideal,D,VS1,62.2,56.0,4.69,4.64,2.9,1167
154088,0.41,Ideal,D,SI1,62.5,57.0,4.74,4.78,2.98,791
181163,1.2,Very Good,H,VS2,63.4,56.0,6.65,6.74,4.25,6479
46539,1.01,Good,F,VS2,63.7,56.0,6.37,6.35,4.05,6830
47842,0.73,Ideal,G,VS2,61.9,56.0,5.76,5.81,3.59,2578
156434,0.3,Ideal,E,VVS2,62.5,56.0,4.28,4.31,2.68,766
7549,0.33,Ideal,D,SI2,59.3,57.0,4.5,4.47,2.66,668
52802,1.03,Very Good,G,VS1,62.0,58.0,6.41,6.48,4.0,9475
90481,1.01,Premium,G,VS1,62.1,60.0,6.4,6.43,3.98,6354
175725,2.14,Ideal,H,SI1,62.2,56.0,8.28,8.2,5.11,18561
150004,1.22,Very Good,J,SI1,62.6,59.0,6.8,6.87,4.28,5256
