id,carat,cut,color,clarity,depth,table,x,y,z,price
146306,0.31,Premium,E,VS2,60.2,58.0,4.44,4.47,2.67,680
154775,0.5,Premium,F,SI1,62.6,58.0,5.06,5.1,3.18,1654
90941,0.35,Ideal,G,VS1,61.4,55.0,4.56,4.58,2.81,696
51408,0.51,Ideal,G,SI2,60.0,60.0,5.21,5.27,3.14,1121
34370,0.52,Good,G,SI1,63.9,56.0,5.1,5.13,3.27,1173
87073,0.3,Good,D,SI2,63.1,59.0,4.24,4.21,2.67,622
178028,0.4,Good,G,SI1,63.7,56.0,4.66,4.69,2.98,923
109554,0.51,Premium,E,VS2,61.5,58.0,5.14,5.18,3.17,1837
145444,1.02,Premium,H,SI1,61.8,59.0,6.43,6.48,3.98,4956
128885,0.51,Ideal,D,VS2,62.8,56.0,5.09,5.1,3.2,1845
52627,1.51,Premium,H,SI2,61.2,59.0,7.32,7.35,4.48,8081
185018,2.01,Ideal,I,VS1,62.5,56.0,8.0,7.94,4.99,16512
15329,0.71,Ideal,I,VS1,62.3,58.0,5.69,5.71,3.55,2138
98622,1.58,Premium,E,VS2,61.4,60.0,7.53,7.46,4.58,14453
181099,0.33,Ideal,E,VS2,61.8,56.0,4.45,4.43,2.74,745
140533,0.7,Premium,E,VVS1,61.1,62.0,5.69,5.66,3.47,3311
40768,1.23,Premium,E,VS2,58.7,62.0,7.0,6.98,4.11,7234
9840,1.51,Very Good,F,VS2,59.2,60.0,7.42,7.46,4.41,11924
7464,1.04,Ideal,G,SI2,62.9,57.0,6.47,6.43,4.05,5342
56955,1.1,Premium,H,VS2,63.0,58.0,6.56,6.58,4.15,5430
22205,0.72,Ideal,I,SI1,62.4,54.0,5.75,5.79,3.59,2815
52452,1.04,Premium,F,SI2,60.9,58.0,6.57,6.51,3.99,4366
35139,1.01,Premium,F,VS1,62.5,59.0,6.41,6.37,3.98,7433
105722,1.01,Good,F,VS2,63.6,59.0,6.29,6.34,4.01,6678
24003,1.01,Very Good,F,VS2,63.1,55.0,6.34,6.42,4.02,6733
89788,0.31,Very Good,H,SI1,62.0,59.0,4.33,4.37,2.7,435
21159,0.7,Premium,H,VS2,61.1,61.0,5.67,5.7,3.46,2392
113436,1.23,Ideal,G,VVS2,61.7,55.0,6.92,6.86,4.26,10063
108417,0.3,Premium,F,VS2,62.0,58.0,4.3,4.34,2.68,605
110853,0.73,Ideal,F,SI2,59.6,56.0,5.87,5.91,3.52,2322
147002,1.21,Ideal,G,SI1,61.7,56.0,6.88,6.83,4.22,6610
44845,0.8,Ideal,J,SI1,61.2,54.0,6.01,5.97,3.67,3075
165664,0.3,Ideal,E,VS2,62.1,55.0,4.28,4.31,2.66,642
98388,0.51,Ideal,E,SI1,61.7,55.0,5.18,5.14,3.18,1656
76034,0.34,Ideal,G,VVS2,62.6,55.0,4.44,4.51,2.8,775
150868,0.3,Very Good,I,SI1,62.2,58.0,4.26,4.29,2.66,394
134923,0.3,Very Good,F,SI1,63.4,55.0,4.24,4.22,2.69,550
28514,0.31,Ideal,E,VS2,62.5,56.0,4.3,4.32,2.7,726
147818,1.09,Premium,E,SI1,60.1,58.0,6.66,6.74,4.03,5908
59720,0.73,Good,D,SI1,62.6,60.0,5.74,5.77,3.6,2677
30982,0.7,Ideal,H,IF,61.6,55.0,5.69,5.73,3.52,3447
153498,0.58,Premium,F,SI1,61.9,58.0,5.35,5.37,3.32,1441
97047,0.53,Ideal,G,VS1,62.1,55.0,5.15,5.2,3.22,1712
157804,0.53,Ideal,E,VS2,61.8,55.0,5.19,5.2,3.21,1640
98704,1.06,Ideal,F,SI2,62.6,56.0,6.5,6.54,4.09,4665
174272,0.7,Premium,E,SI2,62.5,58.0,5.67,5.65,3.54,2272
60840,0.54,Ideal,E,VS2,61.5,56.0,5.25,5.28,3.23,1809
43085,0.39,Premium,D,VS2,61.7,57.0,4.67,4.7,2.89,957
36375,1.22,Premium,H,SI1,61.2,59.0,6.87,6.83,4.21,6542
15589,2.0,Very Good,F,SI2,62.0,62.0,8.02,8.1,5.0,15968
92995,0.54,Ideal,D,SI1,62.1,56.0,5.23,5.24,3.25,1745
188095,1.01,Premium,F,VS2,60.6,59.0,6.58,6.52,3.96,6184
38921,1.2,Premium,I,SI1,62.4,59.0,6.78,6.81,4.24,4791
89043,0.5,Premium,G,SI1,61.0,60.0,5.06,5.12,3.09,1293
1320,1.53,Ideal,J,VVS2,61.8,56.0,7.36,7.42,4.58,8930
192330,1.5,Very Good,I,VS1,58.5,59.0,7.48,7.57,4.41,9820
43336,1.71,Ideal,I,VS1,62.0,57.0,7.67,7.63,4.75,13596
171150,1.06,Ideal,H,VS1,61.9,55.0,6.54,6.57,4.06,7118
120803,1.5,Very Good,F,SI1,62.6,59.0,7.28,7.23,4.55,10800
18330,1.01,Premium,G,VS2,60.9,62.0,6.47,6.38,3.89,5950
106664,1.0,Premium,D,SI2,61.6,58.0,6.36,6.42,3.94,4218
140817,1.55,Ideal,G,VS1,62.2,55.0,7.47,7.43,4.62,15223
49607,1.01,Premium,H,VS2,62.2,58.0,6.39,6.41,3.98,5201
139558,0.9,Ideal,H,VVS2,63.0,57.0,6.12,6.1,3.85,4037
66087,0.7,Good,H,SI1,63.7,59.0,5.55,5.59,3.55,1814
72812,0.52,Premium,G,VS1,60.6,58.0,5.24,5.17,3.16,1789
20860,0.71,Ideal,I,VVS1,61.7,54.0,5.73,5.76,3.55,2553
90510,0.9,Ideal,I,VS2,62.0,55.0,6.2,6.14,3.82,3276
54486,0.76,Premium,D,SI1,58.8,57.0,6.0,5.93,3.51,2579
166643,1.54,Ideal,I,VS1,61.0,56.0,7.44,7.49,4.55,9709
148502,0.34,Ideal,I,VVS2,61.8,57.0,4.53,4.52,2.8,596
98453,0.34,Ideal,G,IF,61.3,54.0,4.55,4.53,2.78,979
180700,0.7,Premium,G,SI2,60.4,62.0,5.73,5.71,3.46,1998
94,1.0,Premium,F,IF,60.1,60.0,6.49,6.45,3.88,10181
24009,0.31,Ideal,D,VS2,62.4,54.0,4.38,4.35,2.72,942
179261,0.3,Very Good,I,SI1,62.9,57.0,4.22,4.26,2.67,382
164754,1.53,Very Good,H,VS2,60.5,60.0,7.41,7.45,4.5,11206
80382,1.01,Very Good,E,VS1,63.1,56.0,6.39,6.45,4.05,5766
36126,1.07,Premium,F,SI1,62.3,59.0,6.55,6.52,4.07,5921
103070,0.32,Ideal,E,SI1,61.8,55.0,4.38,4.4,2.72,524
135933,0.4,Premium,D,VS1,61.9,60.0,4.65,4.68,2.89,967
118243,1.01,Very Good,E,VS2,62.0,60.0,6.38,6.48,3.98,6334
97507,0.32,Ideal,G,IF,62.4,54.0,4.41,4.38,2.74,918
184916,0.73,Very Good,D,SI2,60.2,58.0,5.77,5.86,3.5,2897
176128,0.34,Ideal,I,VS2,62.4,57.0,4.5,4.53,2.81,573
166452,0.36,Ideal,D,VS2,61.9,56.0,4.56,4.52,2.81,1094
145465,1.53,Ideal,J,VS1,61.1,57.0,7.43,7.39,4.53,9729
131666,1.2,Premium,D,SI2,62.5,57.0,6.78,6.67,4.19,6505
128785,1.21,Ideal,H,VS2,61.7,57.0,6.84,6.88,4.23,7823
141705,0.3,Ideal,G,IF,62.1,55.0,4.36,4.34,2.7,956
6416,1.08,Ideal,F,VS1,60.5,57.0,6.62,6.66,4.02,8265
69377,0.41,Ideal,H,VS2,61.0,57.0,4.78,4.82,2.93,1087
171713,0.64,Premium,E,SI1,59.6,60.0,5.62,5.58,3.36,1787
39979,0.91,Ideal,G,SI2,62.4,57.0,6.15,6.2,3.85,3618
184194,1.08,Ideal,E,SI1,61.7,57.0,6.56,6.62,4.06,6480
177499,0.5,Premium,H,SI1,61.8,59.0,5.07,5.1,3.14,1240
182326,0.27,Very Good,H,VS1,60.0,56.0,4.17,4.21,2.51,448
176173,1.06,Ideal,G,VVS2,61.7,56.0,6.52,6.53,4.03,9169
83597,1.51,Ideal,E,SI1,61.7,55.0,7.35,7.43,4.56,11795
184889,0.32,Ideal,G,VVS2,61.5,56.0,4.37,4.34,2.68,936
150235,1.61,Ideal,I,VS1,61.5,57.0,7.56,7.63,4.67,8075
129177,0.72,Ideal,H,VS1,61.6,57.0,5.7,5.75,3.53,3229
62244,0.54,Ideal,H,VS1,62.0,56.0,5.25,5.23,3.25,1888
181794,0.54,Premium,E,SI1,61.5,60.0,5.23,5.2,3.21,1605
42889,1.01,Premium,G,VS2,61.6,58.0,6.43,6.49,3.98,6028
135973,1.11,Ideal,H,SI1,61.7,57.0,6.64,6.61,4.09,5078
18383,0.41,Premium,G,VS1,62.4,59.0,4.73,4.7,2.94,1020
172593,0.31,Ideal,G,IF,62.0,55.0,4.36,4.38,2.71,871
152601,0.72,Premium,H,SI1,60.8,58.0,5.77,5.72,3.49,1846
90352,1.03,Very Good,E,SI1,60.9,58.0,6.55,6.51,3.99,5543
153024,1.01,Good,I,SI1,63.9,59.0,6.3,6.34,4.04,4486
169421,0.4,Good,I,VS2,63.6,59.0,4.69,4.66,2.97,696
40878,0.25,Good,E,VS1,63.8,58.0,3.99,4.05,2.54,399
