id,carat,cut,color,clarity,depth,table,x,y,z,price
107771,0.72,Ideal,E,VS1,62.1,56.0,5.72,5.77,3.57,3250
85017,0.33,Ideal,F,VS1,61.0,56.0,4.46,4.5,2.74,751
45785,1.05,Premium,D,SI2,62.5,59.0,6.45,6.49,4.04,4816
44493,1.0,Premium,E,VS1,60.7,59.0,6.44,6.38,3.89,7287
48469,0.32,Very Good,G,SI1,61.2,62.0,4.4,4.43,2.7,477
131607,1.01,Ideal,H,SI2,62.4,57.0,6.39,6.38,3.98,3924
83967,0.56,Ideal,H,VS2,62.3,54.0,5.28,5.31,3.29,1350
149720,0.4,Premium,D,VS1,62.6,58.0,4.67,4.71,2.94,1295
159600,1.12,Good,F,VS2,63.8,58.0,6.59,6.54,4.19,6925
75589,0.39,Ideal,D,SI1,61.8,56.0,4.7,4.73,2.92,791
107127,0.54,Ideal,F,VS2,62.5,55.0,5.23,5.16,3.26,1786
134868,0.7,Ideal,F,SI2,61.6,55.0,5.71,5.75,3.54,2475
141316,0.71,Premium,E,SI1,60.4,60.0,5.82,5.77,3.5,2753
5597,0.5,Ideal,G,VVS2,61.5,57.0,5.04,5.07,3.11,1735
34341,1.52,Premium,F,SI2,60.2,59.0,7.42,7.39,4.45,8498
56963,1.55,Ideal,F,VS2,61.9,56.0,7.46,7.42,4.61,14945
112446,0.35,Very Good,D,VS2,62.5,59.0,4.5,4.49,2.81,829
166857,0.56,Premium,G,VS1,59.0,62.0,5.41,5.33,3.16,1686
148971,1.07,Ideal,F,SI1,62.2,56.0,6.56,6.51,4.06,6060
80263,0.3,Ideal,E,VVS2,62.6,56.0,4.27,4.32,2.69,742
35423,0.54,Ideal,E,SI1,61.1,56.0,5.25,5.27,3.22,1585
14570,0.31,Ideal,G,VS1,61.7,55.0,4.38,4.35,2.7,645
193389,1.5,Ideal,G,VVS2,60.9,60.0,7.3,7.32,4.46,15308
10296,0.83,Ideal,E,VS1,61.9,58.0,5.98,6.04,3.72,3675
127099,0.51,Premium,G,VS2,59.4,60.0,5.3,5.26,3.13,1358
159720,1.71,Ideal,I,VS2,62.4,57.0,7.62,7.58,4.74,9281
46573,1.0,Ideal,G,VS1,62.5,56.0,6.32,6.37,3.97,6290
60403,0.34,Ideal,E,VS2,61.8,57.0,4.5,4.52,2.79,696
25634,1.0,Good,I,SI1,63.9,54.0,6.43,6.35,4.08,4004
87986,0.7,Good,F,SI2,59.2,59.0,5.77,5.83,3.42,2251
140329,0.92,Good,F,SI2,64.3,59.0,6.13,6.18,3.96,3856
178635,2.01,Premium,I,SI1,59.5,59.0,8.21,8.16,4.86,15499
147545,1.09,Very Good,H,VS2,61.7,59.0,6.64,6.59,4.08,5217
16760,0.32,Ideal,F,VVS2,62.1,56.0,4.41,4.45,2.75,880
173759,1.12,Premium,H,SI1,62.0,58.0,6.67,6.64,4.13,5186
108686,1.23,Premium,G,VS2,62.3,59.0,6.88,6.85,4.28,9127
133510,0.7,Ideal,E,SI1,62.0,56.0,5.71,5.69,3.54,2694
115455,0.9,Premium,F,SI2,62.8,58.0,6.13,6.15,3.85,3742
46716,0.7,Premium,F,SI1,61.0,60.0,5.73,5.69,3.49,2683
5050,0.41,Good,G,VS2,63.2,57.0,4.69,4.7,2.97,827
50093,0.74,Ideal,G,VS1,61.0,56.0,5.85,5.81,3.56,2826
95808,0.26,Ideal,D,VS1,60.1,56.0,4.12,4.15,2.48,710
31050,1.02,Ideal,G,VS1,62.1,56.0,6.49,6.46,4.02,6793
140288,1.39,Very Good,E,SI2,62.8,54.0,7.07,7.12,4.46,7893
119764,1.55,Premium,G,VS1,59.2,58.0,7.56,7.61,4.48,13379
102880,0.31,Very Good,G,VS1,62.8,54.0,4.28,4.32,2.7,583
12402,1.5,Very Good,F,VS2,63.3,57.0,7.19,7.22,4.56,12390
158721,0.5,Very Good,E,VS2,60.9,58.0,5.06,5.1,3.09,1624
141791,0.51,Very Good,J,VS1,63.2,59.0,5.04,5.08,3.19,1148
33512,0.5,Very Good,F,SI1,62.4,61.0,5.05,5.07,3.16,1232
