id,carat,cut,color,clarity,depth,table,x,y,z,price
72008,0.51,Very Good,G,VS2,62.7,59.0,5.08,5.1,3.19,1438
152635,0.78,Ideal,H,VS2,61.7,57.0,5.95,5.98,3.67,2803
71062,0.71,Good,G,SI1,63.3,56.0,5.68,5.63,3.59,2185
103912,0.32,Ideal,D,SI1,61.9,54.0,4.37,4.39,2.71,589
46901,0.4,Ideal,E,VS1,61.8,56.0,4.75,4.77,2.94,1125
176882,1.6,Ideal,F,SI2,62.0,56.0,7.48,7.52,4.64,11233
45891,0.87,Ideal,J,VS2,62.1,57.0,6.14,6.09,3.8,2855
96368,0.32,Ideal,G,SI2,62.4,57.0,4.36,4.38,2.72,459
132154,0.7,Premium,F,SI1,59.9,59.0,5.83,5.77,3.49,2438
20758,0.45,Premium,D,VS2,60.1,58.0,4.94,4.91,2.97,1102
30183,0.9,Premium,E,SI2,62.9,58.0,6.12,6.09,3.85,3524
167061,1.15,Premium,E,SI1,62.9,58.0,6.66,6.69,4.19,6012
122540,0.73,Ideal,I,VS1,62.7,54.0,5.73,5.77,3.6,2340
18687,0.52,Ideal,E,VS2,62.5,54.0,5.14,5.17,3.22,1610
95737,0.43,Premium,D,VS2,61.6,59.0,4.82,4.8,2.96,1056
151002,0.41,Very Good,E,VS1,61.3,57.0,4.77,4.81,2.93,1079
141668,0.41,Ideal,F,VS2,61.1,55.0,4.81,4.84,2.95,978
72048,0.9,Very Good,H,SI1,63.4,57.0,6.12,6.17,3.89,3697
143859,0.92,Good,F,SI2,63.8,59.0,6.25,6.13,3.94,3841
22578,1.02,Premium,F,SI1,62.8,59.0,6.44,6.38,4.02,5042
77097,1.01,Premium,D,SI1,61.6,58.0,6.46,6.42,3.97,5920
35481,1.51,Premium,G,SI2,61.9,59.0,7.34,7.3,4.53,7267
153612,0.7,Very Good,G,SI1,63.8,56.0,5.64,5.67,3.61,2517
170187,1.03,Premium,F,SI1,62.1,59.0,6.49,6.47,4.02,5756
170665,0.34,Ideal,E,SI1,62.0,54.0,4.49,4.53,2.8,765
142215,0.51,Ideal,H,SI1,62.0,56.0,5.15,5.09,3.18,1023
47289,0.7,Premium,F,VS2,60.0,56.0,5.78,5.74,3.46,2657
135031,1.71,Ideal,H,VS2,61.7,57.0,7.72,7.65,4.72,12872
83824,1.51,Premium,H,SI1,60.2,59.0,7.42,7.33,4.44,8644
38493,2.08,Premium,G,SI2,61.9,58.0,8.21,8.16,5.06,14860
24644,0.5,Premium,E,SI1,62.4,58.0,5.12,5.09,3.19,1427
165546,0.83,Ideal,F,VS1,62.3,57.0,5.99,6.05,3.75,3629
108534,1.0,Ideal,E,SI2,62.0,57.0,6.38,6.34,3.94,4290
65180,0.34,Premium,D,SI1,61.0,58.0,4.53,4.5,2.76,804
62982,0.31,Premium,H,VS2,61.8,59.0,4.41,4.36,2.71,628
131506,0.51,Very Good,F,SI1,61.8,57.0,5.09,5.12,3.16,1311
119544,0.42,Premium,F,VVS2,61.5,59.0,4.79,4.83,2.96,1142
124403,0.32,Ideal,H,VVS1,61.2,55.0,4.45,4.47,2.73,671
35247,1.25,Ideal,J,SI2,61.2,57.0,6.98,6.94,4.25,4989
25370,0.35,Ideal,H,IF,61.3,56.0,4.56,4.54,2.79,984
51986,2.01,Premium,F,SI1,59.1,60.0,8.29,8.35,4.86,12209
133275,1.17,Ideal,H,SI1,62.0,55.0,6.75,6.71,4.18,6002
85365,1.01,Very Good,G,IF,59.6,60.0,6.52,6.58,3.9,8311
138320,0.9,Premium,H,VS1,59.9,62.0,6.21,6.14,3.69,3593
30041,1.03,Premium,G,VS2,60.3,54.0,6.61,6.59,3.99,6040
48634,0.9,Premium,I,SI1,59.8,60.0,6.21,6.23,3.73,3171
191942,0.51,Ideal,E,VS2,62.4,56.0,5.08,5.11,3.18,1720
40274,0.91,Ideal,I,SI2,61.6,54.0,6.25,6.23,3.85,3521
118968,0.67,Very Good,F,SI2,59.9,58.0,5.72,5.76,3.4,2168
85687,0.41,Premium,D,SI1,60.0,59.0,4.86,4.89,2.92,1015
